kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3342794,K02278.01,Kepler-376 c,1,0.997,0,0,0,0,14.17222858,142.60134,0.869,2.6297,2.47E+02,2.39,873,137.33,24.5,1,q1_q17_dr25_tce,5845,4.2,1.314,291.60718,38.410389,13.776
3342794,K02278.02,Kepler-376 b,1,0.991,0,0,0,0,4.92031063,135.40577,0.242,4.046,8.10E+01,1.18,1242,562.99,17.7,2,q1_q17_dr25_tce,5845,4.2,1.314,291.60718,38.410389,13.776
11288051,K00241.01,Kepler-124 c,1,1,0,0,0,0,13.82142084,131.79237,0.904,3.985,7.65E+02,2.2,560,23.15,75.3,1,q1_q17_dr25_tce,4983,4.66,0.651,286.75278,49.064911,14.139
7515670,K02360.01,,0,0.006,0,0,1,0,2.30367952,133.76909,0.964,3.0898,1.36E+02,1.3,1384,866.21,18.9,1,q1_q17_dr25_tce,6191,4.546,0.865,287.80408,43.168961,15.206
8495415,K02362.02,Kepler-1208 b,1,0.997,0,0,0,0,11.08507658,355.03627,0.819,1.751,7.72E+02,2.5,665,46.17,17.7,2,q1_q17_dr25_tce,5080,4.538,0.793,291.88126,44.555729,15.938
4055304,K02119.01,Kepler-1107 b,1,1,0,0,0,0,0.571038347,131.653752,0.876,1.1267,2.42E+02,1.65,1897,3069.59,38.2,1,q1_q17_dr25_tce,5132,4.457,0.886,291.04993,39.14167,14.098
4857213,K02120.01,Kepler-1680 b,1,1,0,0,0,0,8.77425786,132.33386,0.917,2.2245,2.40E+02,1.75,771,83.63,22.3,1,q1_q17_dr25_tce,5146,4.445,0.905,297.07465,39.933849,13.714
9415108,K02121.01,Kepler-1108 b,1,0,0,0,0,0,4.51005082,134.56954,0.115,2.1533,2.95E+02,1.74,1063,301.74,21.5,1,q1_q17_dr25_tce,5362,4.352,1.032,296.04233,45.985142,14.979
4262581,K02122.01,Kepler-1109 b,1,1,0,0,0,0,37.6468519,161.46355,0.008,6.344,4.27E+02,5.37,787,90.85,31,1,q1_q17_dr25_tce,5443,3.74,2.652,291.64624,39.396629,14.288
4833421,K00232.01,Kepler-122 c,1,1,0,0,0,0,12.46600444,134.003258,0.209,5.0066,2.23E+03,5.65,897,152.76,304.6,1,q1_q17_dr25_tce,6038,4.284,1.191,291.11188,39.949108,14.247
8282651,K02193.01,Kepler-1136 b,1,1,0,0,0,0,2.361724472,133.23932,0.009,1.2167,5.87E+02,1.53,922,170.59,34.6,1,q1_q17_dr25_tce,4478,4.615,0.651,284.10779,44.245811,15.658
3548044,K02194.01,Kepler-371 b,1,0.991,0,0,0,0,34.7630543,161.74217,0.731,4.309,2.94E+02,1.75,554,22.23,24,1,q1_q17_dr25_tce,5670,4.387,0.95,292.32645,38.657581,13.865
11401767,K02195.01,Kepler-372 c,1,0.998,0,0,0,0,20.0545282,136.56587,0.939,7.173,3.05E+02,2.63,755,76.97,26.9,1,q1_q17_dr25_tce,6056,4.332,1.209,291.2562,49.258949,14.881
10909127,K02200.01,Kepler-1138 b,1,1,0,0,0,0,3.17059731,132.67813,0.793,1.6686,3.25E+02,1.69,1080,321.28,20.1,1,q1_q17_dr25_tce,5431,4.563,0.843,285.89923,48.307301,15.353
3661886,K02279.01,Kepler-377 c,1,1,0,0,0,0,27.0142622,132.52245,0.009,5.385,2.88E+02,2,677,49.65,25.5,1,q1_q17_dr25_tce,5949,4.303,1.184,295.422,38.735691,13.86
3661886,K02279.02,Kepler-377 b,1,0.998,0,0,0,0,12.50945798,136.99217,0.626,3.479,1.55E+02,1.54,875,138.54,16,2,q1_q17_dr25_tce,5949,4.303,1.184,295.422,38.735691,13.86
2439243,K02280.01,Kepler-1172 b,1,1,0,0,0,0,26.0203329,154.5286,0.704,4.965,1.16E+03,4.53,675,49.09,23.7,1,q1_q17_dr25_tce,5624,4.218,1.244,290.47452,37.766602,15.889
9221517,K02281.01,Kepler-1173 b,1,0.995,0,0,0,0,0.769854899,132.51944,0.705,1.0243,1.10E+02,0.93,1650,1756.8,28.7,1,q1_q17_dr25_tce,5173,4.55,0.822,293.1311,45.663551,13.829
6751874,K02282.01,Kepler-1174 b,1,1,0,0,0,0,6.89226333,132.4644,0.061,2.4921,2.14E+02,2.13,1156,422.14,22.4,1,q1_q17_dr25_tce,5862,4.148,1.463,281.83145,42.298908,14.207
10863608,K02368.01,Kepler-1210 b,1,0.999,0,0,0,0,8.07127043,137.76604,0.271,2.393,3.18E+02,1.53,856,126.94,16.9,1,q1_q17_dr25_tce,5766,4.517,0.853,292.83215,48.21936,15.553
5602588,K02369.01,Kepler-1211 b,1,1,0,0,0,0,11.01819178,139.87858,0.883,4.635,5.46E+02,2.64,840,117.97,22,1,q1_q17_dr25_tce,6075,4.486,0.969,285.72079,40.85696,15.832
11288051,K00241.02,Kepler-124 d,1,0.982,0,0,0,0,30.9505927,153.84507,0.958,5.394,3.01E+02,1.51,428,7.91,23.2,2,q1_q17_dr25_tce,4983,4.66,0.651,286.75278,49.064911,14.139
5547480,K00224.01,,0,0,0,1,1,0,3.979867514,132.071233,1.216,2.3607,9.08E+02,26.5,1173,446.89,65.2,1,q1_q17_dr25_tce,6032,4.485,0.973,295.6402,40.794842,14.782
